alpha,Cd,Cl
-14.7417776779509,0.0754115529884303,-1.11043561304757
-14.4613729654782,0.0656844182920705,-1.0907030267883
-14.2307743549132,0.0682848174165014,-1.08826629178663
-13.9469319428848,0.0543695848797561,-1.27533130889299
-13.7655692416659,0.0468063425231688,-1.25840395176886
-13.4922031384455,0.0441124975254133,-1.16066735932016
-13.2653339524593,0.0434666640467135,-1.22774727401577
-13.0418088637408,0.0382318593899532,-1.27502709582781
-12.7729102880944,0.0378767406986277,-1.14231069279672
-12.4903981872374,0.0349114403079319,-1.20683875815194
-12.2732032154089,0.0389892420276087,-1.15737858698282
-12.0459166248193,0.0439939195108078,-1.08979340262511
-11.7329693627816,0.0446965066138223,-1.11726328320722
-11.523570944181,0.0270844831853721,-1.14497873053403
-11.2644150621164,0.0355022851702856,-1.08157748273764
-10.9868044970379,0.0284694695104705,-1.07205940817275
-10.7597744551507,0.0272269306718277,-1.06217287128147
-10.4884916799389,0.023485827709283,-1.06385561128803
-10.2571578958966,0.0306553448729509,-1.07301218688198
-10.022831838797,0.0258769737706477,-1.08475423531475
-9.73069131515671,0.0249095729306927,-1.00481400351452
-9.46981556725149,0.0194565920270668,-1.04739599018599
-9.2297538968685,0.0228803032177292,-0.971658523114223
-8.99111051185306,0.0193388519134076,-0.91238555223187
-8.75546126151954,0.0134926319243512,-1.06594955084932
-8.50578491154615,0.0235824577076319,-0.870445348043166
-8.26511807978242,0.0275913473600738,-0.90846730310985
-7.98302594214245,0.0184582953093846,-0.894342148380436
-7.74697035538317,0.0357850115686628,-0.814916379566882
-7.5141154148311,0.0252997099761985,-0.874320584383055
-7.27917608170295,0.0254174225192424,-0.827530847773674
-7.01087723450562,0.0222720519089981,-0.721731398393936
-6.78375313195217,0.025610253665645,-0.763918126743056
-6.49853613198443,0.0232020492225138,-0.767512925219452
-6.25544085588371,0.0239166602160532,-0.741360660999316
-6.00717002563642,0.0211765464211793,-0.74710014579482
-5.76518619011579,0.0235864268003091,-0.662681599276776
-5.49822852287384,0.0225246278057912,-0.59682184153588
-5.24576327375038,0.0101951915102884,-0.57181655061838
-4.98431919306392,0.0246491506486464,-0.588958217952373
-4.76204246377722,0.00529896936482853,-0.665432085865495
-4.47798394812695,0.0105117733263025,-0.611242856781264
-4.27830598765046,0.0212892539544749,-0.542273356147884
-4.03008624454338,0.0230769704872609,-0.484889747211559
-3.75900005719792,0.0174997708051891,-0.586478523767269
-3.51060133994574,0.0191975479019909,-0.490591866716329
-3.2676269531773,0.019625304863608,-0.394214637107743
-3.03902475731253,0.0123496454340139,-0.329524837828377
-2.73009411655365,0.0128640471811779,-0.409309965030679
-2.50668567278985,0.00556086276744928,-0.348857235581005
-2.29939228907277,0.0168629782502557,-0.373413356340902
-2.01747428620929,0.00725175108923664,-0.315814386504176
-1.73148554160366,0.0072877397228344,-0.217396424697911
-1.49702401829279,0.0169916749424205,-0.189646254210102
-1.25084292426346,0.00980304324339591,-0.158489288186604
-1.01362332313106,0.00964563980774327,-0.125350016417504
-0.781704308080025,0.00895846441300382,-0.0946513674693177
-0.517233885825618,0.0175555407564092,-0.0405751720328904
-0.282437991485919,0.0125673399333078,0.00718171065817323
-0.000689840288797498,0.00971428677081524,0.0148038694936645
0.232342204503879,0.00460784497249492,0.0426884827970777
0.486190638759157,0.0115732703851737,0.0209300040578056
